idx,entity_id,entity_name,cohort,model_id,model_family,is_refusal,gemini_cov,gemini_acc,gemini_score,claude_cov,claude_acc,claude_score,gpt5_cov,gpt5_acc,gpt5_score,response_excerpt
181,flashattention,FlashAttention,reference_pilot,gpt-oss-20b-think,gpt-oss,0,0.57,0.7,0.39899999999999997,0.4,0.4,0.4,0.55,0.65,0.6000000000000001,"FlashAttention is a GPU‑optimized attention routine for transformers that dramatically cuts both memory usage and latency. Instead of materializing the full \(QK^T\) matrix, it streams queries, keys and values through a fused kernel that *in‑place* computes the masked softmax and the weighted sum. T"
182,flashattention,FlashAttention,reference_pilot,llama-3.2-1b,llama,0,0.3,0.7,0.21,0.2,0.3,0.25,0.3,0.4,0.35,"FlashAttention is an attention mechanism designed for efficient transformer training and inference in natural language processing (NLP) tasks. It is a variant of the original Self-Attention mechanism, which was introduced in the paper ""Attention is All You Need"" by Vaswani et al. in 2017. FlashAtten"
183,flashattention,FlashAttention,reference_pilot,gemma-3-4b,gemma3,0,0.5,1.0,0.5,0.4,0.7,0.55,0.6,0.8,0.7,"FlashAttention is a revolutionary attention algorithm designed to dramatically speed up and reduce the memory footprint of transformer models, particularly during training. Developed by researchers at Stanford University, it addresses the quadratic memory complexity of standard attention mechanisms "
184,flashattention,FlashAttention,reference_pilot,ministral-3b,mistral,0,0.3,0.3,0.09,0.2,0.1,0.15000000000000002,0.4,0.4,0.4,"**FlashAttention** is an optimized attention algorithm designed to accelerate transformer-based models by reducing memory overhead and improving speed. Developed by **Cheng Zhang** and colleagues at the University of Toronto, it leverages **sparse attention patterns** (e.g., via **kernelized attenti"
185,csrankings_youcheng_sun,Youcheng Sun,cs_faculty,deepseek-v4-pro-think,deepseek,0,0.7,0.4,0.27999999999999997,0.4,0.4,0.4,0.4,0.2,0.30000000000000004,"Youcheng Sun is an assistant professor in the Computer Vision department at Mohamed bin Zayed University of Artificial Intelligence (MBZUAI). His research focuses on computer vision and generative modeling, with notable contributions to generative adversarial networks (GANs) and image synthesis. He "
186,csrankings_li_fei_fei_0001,Li Fei-Fei 0001,cs_faculty,glm-4-32b,glm,0,0.5,1.0,0.5,0.4,1.0,0.7,0.4,0.75,0.575,"Li Fei-Fei is a prominent computer scientist and the founding director of the Stanford Artificial Intelligence Lab (SAIL). She is a professor of computer science at Stanford University and a leading figure in the field of artificial intelligence, particularly in computer vision. Her work focuses on "
187,csrankings_tanushree_mitra,Tanushree Mitra,cs_faculty,gemini-3.1-pro,gemini,0,0.75,1.0,0.75,0.7,0.7,0.7,0.4,0.85,0.625,"Tanushree Mitra is an Assistant Professor at the University of Washington’s Information School and holds an adjunct appointment in the Paul G. Allen School of Computer Science & Engineering. Her research resides at the intersection of Human-Computer Interaction (HCI) and social computing, focusing h"
188,csrankings_chrysa_papagianni,Chrysa Papagianni,cs_faculty,qwen3-32b-think,qwen3,0,0.0,0.0,0.0,0.1,0.4,0.25,0.0,0.0,0.0,unknown   The system does not have reliable information about Chrysa Papagianni as a computer science faculty member at the University of Amsterdam. This could indicate either a lack of publicly available data on this individual or a misattribution. The University of Amsterdam’s computer science dep
189,csrankings_vitaly_shmatikov_tech,Vitaly Shmatikov [Tech],cs_faculty,gemma-4-31b,gemma4,0,0.75,1.0,0.75,0.4,0.7,0.55,0.4,0.75,0.575,"Vitaly Shmatikov is a prominent computer science professor at Cornell University, specializing in cybersecurity, cryptography, and privacy. He is widely recognized for his research on the security of software systems, the vulnerabilities of cryptographic protocols, and the intersection of machine le"
190,csrankings_pravesh_kothari,Pravesh Kothari,cs_faculty,qwen3-32b-think,qwen3,0,0.6,1.0,0.6,0.4,0.4,0.4,0.4,0.4,0.4,"Pravesh Kothari is an Associate Professor in the Department of Computer Science at Princeton University. His research focuses on algorithms, computational complexity, and distributed computing, with particular emphasis on fault-tolerant systems and circuit complexity. He is known for his work on col"
191,csrankings_mor_harchol_balter,Mor Harchol-Balter,cs_faculty,qwen3-8b-think,qwen3,0,0.6,0.5,0.3,0.7,0.7,0.7,0.4,0.4,0.4,"Mor Harchol-Balter is a professor in the Computer Science Department at Carnegie Mellon University (CMU), specializing in operating systems, cloud computing, and distributed systems. Her research focuses on resource allocation, scheduling, and energy efficiency in data centers, with notable work on "
192,csrankings_bo_zhao_0023,Bo Zhao 0023,cs_faculty,deepseek-v3.2-think,deepseek,0,0.75,1.0,0.75,0.4,0.4,0.4,0.35,0.6,0.475,"Based on available information, Bo Zhao is an associate professor in the School of Computer Science at Wuhan University. His research interests primarily focus on **spatial data mining, geographic information science (GIS), and social sensing**. He is particularly known for his work involving **big "
193,csrankings_riccardo_zecchina,Riccardo Zecchina,cs_faculty,gemma-3-4b,gemma3,0,0.8,0.4,0.32000000000000006,0.3,0.3,0.3,0.4,0.3,0.35,"Riccardo Zecchina is a highly respected computer science faculty member at Bocconi University in Milan, Italy. He’s known primarily for his work in the area of **network economics, data markets, and online platforms**.  His research focuses on understanding how information flows and pricing strategi"
194,csrankings_bernhard_beckert,Bernhard Beckert,cs_faculty,ministral-3b,mistral,0,0.75,0.1,0.07500000000000001,0.3,0.2,0.25,0.35,0.2,0.275,"Bernhard Beckert is a prominent **computer science professor** at the **Karlsruhe Institute of Technology (KIT)**, specializing in **distributed systems, cloud computing, and large-scale data processing**. He holds a chair in **Distributed Systems** and is known for his research on **scalable archit"
195,csrankings_john_d__storey,John D. Storey,cs_faculty,ministral-3b,mistral,0,0.5,0.1,0.05,0.3,0.2,0.25,0.4,0.2,0.30000000000000004,"John D. Storey is a computer science professor at **Princeton University**, specializing in **theoretical computer science**, particularly **algorithmic game theory, distributed systems, and computational complexity**. He holds a Ph.D. from **MIT** (2005) and has made significant contributions to un"
196,csrankings_zhitao_ying,Zhitao Ying,cs_faculty,gemma-3-4b,gemma3,0,0.7,1.0,0.7,0.4,0.4,0.4,0.35,0.35,0.35,"Zhitao Ying is a computer science faculty member at Yale University. He specializes in **machine learning, particularly in the areas of deep learning, reinforcement learning, and causal inference.** His research focuses on developing algorithms that can learn from sparse and noisy data, with applica"
197,csrankings_hansenclever_de_f__bassani,Hansenclever de F. Bassani,cs_faculty,mistral-medium-3.1,mistral-prop,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Unknown.  *(Note: As of my last knowledge update, there is no widely recognized record of a computer science faculty member named **Hansenclever de F. Bassani** at the **Federal University of Pernambuco (UFPE)**. If this is a recent or less-publicized individual, I recommend checking UFPE’s official"
198,csrankings_parastoo_abtahi,Parastoo Abtahi,cs_faculty,gemini-3.1-pro,gemini,0,0.75,1.0,0.75,0.7,1.0,0.85,0.4,1.0,0.7,"Parastoo Abtahi is an Assistant Professor in the Department of Computer Science at Princeton University, specializing in Human-Computer Interaction (HCI). She received her Ph.D. in Computer Science from Stanford University, where she was co-advised by Sean Follmer and James Landay, and holds a Bache"
199,csrankings_riad_wahby,Riad Wahby,cs_faculty,kimi-k2,kimi,0,0.7,0.8,0.5599999999999999,0.4,0.7,0.55,0.4,0.4,0.4,"Riad Wahby is an Assistant Professor in the Electrical & Computer Engineering (ECE) department at Carnegie Mellon University. His research focuses on systems security, cryptography, and formal methods, with emphasis on zero-knowledge proofs, verifiable computation, and hardware/software trusted exec"
200,csrankings_wen_sun_0002,Wen Sun 0002,cs_faculty,ministral-3b,mistral,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"**Unknown**  *(Note: There is no widely recognized academic figure at Cornell University named ""Wen Sun 0002"" in standard databases or public records. Possible explanations include:* - *A typo or placeholder name in internal records.* - *A lesser-known or unpublished researcher.* - *A fictional or n"
201,csrankings_guy_e__blelloch,Guy E. Blelloch,cs_faculty,llama-3.3-70b,llama,0,0.8,1.0,0.8,0.7,0.7,0.7,0.4,0.9,0.65,"Guy E. Blelloch is a computer science faculty member at Carnegie Mellon University. He is a professor in the School of Computer Science, specifically in the Computer Science Department. His research interests include parallel algorithms, parallel computing, and computational complexity. Blelloch has"
202,csrankings_tony_f__chan,Tony F. Chan,cs_faculty,qwen3-235b-a22b-think,qwen3,0,0.2,0.4,0.08000000000000002,0.3,0.4,0.35,0.25,0.4,0.325,"Tony F. Chan is a renowned mathematician and computational scientist associated with KAUST (King Abdullah University of Science and Technology) in Saudi Arabia. While he served as KAUST’s first president from 2009 to 2010 during its founding phase, his primary academic background lies in applied mat"
203,csrankings_itaru_kitahara,Itaru Kitahara,cs_faculty,gemini-3.1-pro,gemini,0,1.0,1.0,1.0,0.4,0.7,0.55,0.4,0.85,0.625,"Dr. Itaru Kitahara is a prominent computer science faculty member and researcher at the University of Tsukuba in Japan, affiliated with the Center for Computational Sciences and the Faculty of Engineering, Information and Systems.   His research primarily focuses on computer vision, augmented and vi"
204,csrankings_li_yang_tan,Li-Yang Tan,cs_faculty,mistral-large,mistral,0,0.7,1.0,0.7,0.7,0.7,0.7,0.4,0.9,0.65,"Li-Yang Tan is a faculty member in the Computer Science Department at Stanford University. He is known for his work in theoretical computer science, particularly in areas such as complexity theory, pseudorandomness, and coding theory. Tan's research focuses on understanding the fundamental limits of"
205,csrankings_clayton_thomas,Clayton Thomas,cs_faculty,gpt-5.4,gpt5,0,0.7,1.0,0.7,0.3,0.4,0.35,0.4,0.8,0.6000000000000001,"Clayton Thomas is a computer science faculty member at Rensselaer Polytechnic Institute (RPI). He is known for work in programming languages, compilers, and software systems, with research often centered on how programming tools and language design can improve reliability, performance, and developer"
206,csrankings_david_lindlbauer,David Lindlbauer,cs_faculty,claude-opus-4.6-think,claude,0,1.0,1.0,1.0,0.4,0.85,0.625,0.4,1.0,0.7,"# David Lindlbauer  David Lindlbauer is an Assistant Professor in the **Human-Computer Interaction Institute (HCII)** at Carnegie Mellon University's School of Computer Science. His research focuses on **augmented and virtual reality (AR/VR)**, particularly on designing adaptive user interfaces for "
207,csrankings_george_karakostas,George Karakostas,cs_faculty,claude-sonnet-4.6-think,claude,0,0.7,1.0,0.7,0.4,0.7,0.55,0.4,0.95,0.675,"George Karakostas is a faculty member in the Department of Computing and Software at McMaster University in Hamilton, Ontario, Canada. His research focuses primarily on algorithms, combinatorial optimization, and approximation algorithms.  He is notably known for his work on semidefinite programming"
208,csrankings_sandra_maria_alusio,Sandra Maria Aluísio,cs_faculty,qwen3-235b-a22b-think,qwen3,0,0.6,1.0,0.6,0.7,0.7,0.7,0.45,0.9,0.675,"Sandra Maria Aluísio is a recognized professor at the Institute of Mathematical and Computer Sciences (ICMC) of the University of São Paulo (USP), Brazil. Her research focuses on computer science, particularly in areas such as natural language processing (NLP), computational linguistics, and educati"
209,csrankings_juncheng_yang,Juncheng Yang,cs_faculty,claude-sonnet-4.6-think,claude,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Unknown.  I'm not able to confidently identify a computer science faculty member named Juncheng Yang at Harvard University within my knowledge base. There are researchers with this name in computer science (for instance, in areas like systems and caching), but I cannot reliably confirm the details o"
210,csrankings_stefano_ermon,Stefano Ermon,cs_faculty,grok-4.20-think,grok,0,0.6,1.0,0.6,0.7,0.85,0.7749999999999999,0.4,0.9,0.65,"**Stefano Ermon** is an Associate Professor of Computer Science at Stanford University and a senior fellow at the Stanford Institute for Human-Centered AI (HAI). His research focuses on machine learning, probabilistic modeling, deep generative models, and reinforcement learning, with a strong emphas"
211,csrankings_liangming_pan,Liangming Pan,cs_faculty,gemma-3-12b,gemma3,0,0.7,1.0,0.7,0.3,0.3,0.3,0.4,0.2,0.30000000000000004,"Liangming Pan is a Professor in the Department of Computer Science and Technology at Peking University, China. His research primarily focuses on **data mining, machine learning, and artificial intelligence**, with a particular emphasis on **graph neural networks (GNNs)** and their applications. He's"
212,csrankings_sam_tobin_hochstadt,Sam Tobin-Hochstadt,cs_faculty,kimi-k2.6-think,kimi,0,0.8,1.0,0.8,0.7,0.85,0.7749999999999999,0.5,0.95,0.725,"Sam Tobin-Hochstadt is a computer science professor at Indiana University Bloomington. His research centers on programming languages, type systems, and language design. He is best known for creating Typed Racket, a statically typed dialect of the Racket programming language, and for seminal work on "
213,csrankings_amer_e__mouawad,Amer E. Mouawad,cs_faculty,gpt-5.5-think,gpt5,0,0.7,1.0,0.7,0.7,0.85,0.7749999999999999,0.5,0.95,0.725,"Amer E. Mouawad is a computer scientist and faculty member in the Department of Computer Science at the American University of Beirut. His research is mainly in theoretical computer science, especially algorithms and computational complexity. He has worked on topics such as parameterized complexity,"
214,csrankings_odinaldo_rodrigues,Odinaldo Rodrigues,cs_faculty,deepseek-v4-pro-think,deepseek,0,0.7,1.0,0.7,0.7,0.7,0.7,0.5,0.75,0.625,Odinaldo (often published as Odinaldo) Rodrigues is a Senior Lecturer in the Department of Informatics at King's College London. He is a member of the Reasoning and Planning group and is affiliated with the Centre for Artificial Intelligence. His research focuses on knowledge representation and reas
215,csrankings_konstantinos_krampis,Konstantinos Krampis,cs_faculty,deepseek-v4-pro-think,deepseek,0,0.7,1.0,0.7,0.4,0.7,0.55,0.5,0.85,0.675,"Konstantinos Krampis is an Associate Professor in the Department of Computer Science at Hunter College, City University of New York (CUNY). His research sits at the intersection of computer science and bioinformatics, focusing on scaling genomic analysis through cloud computing, containerization, an"
216,csrankings_j__v__wijayakulasooriya,J. V. Wijayakulasooriya,cs_faculty,qwen3.5-397b-a17b-think,qwen3.5,0,0.0,0.0,0.0,0.1,0.7,0.39999999999999997,0.0,0.0,0.0,"unknown. I do not possess specific verified information about J. V. Wijayakulasooriya in my training data. Although the University of Peradeniya is a well-known institution in Sri Lanka with an established Computer Science department, this individual's academic profile, research interests, or specif"
217,csrankings_sam_tobin_hochstadt,Sam Tobin-Hochstadt,cs_faculty,claude-opus-4.6-think,claude,0,0.7,1.0,0.7,0.7,1.0,0.85,0.4,0.9,0.65,"# Sam Tobin-Hochstadt  Sam Tobin-Hochstadt is a professor in the School of Informatics, Computing, and Engineering at Indiana University Bloomington. He is well known for his research in programming languages, with a particular focus on type systems, gradual typing, and language design.  He is a pro"
218,csrankings_mona_t__diab,Mona T. Diab,cs_faculty,gemma-4-31b,gemma4,0,0.8,1.0,0.8,0.4,0.4,0.4,0.5,0.65,0.575,"Mona T. Diab is an Assistant Professor in the School of Computer Science at Carnegie Mellon University. Her research focuses on Natural Language Processing (NLP), with a particular emphasis on making models more robust, efficient, and capable of handling diverse linguistic phenomena.  Her work often"
219,csrankings_jay_ligatti,Jay Ligatti,cs_faculty,gemini-3-flash-think,gemini,0,0.7,1.0,0.7,0.7,0.7,0.7,0.45,0.9,0.675,"Jay Ligatti is a Professor in the Department of Computer Science and Engineering at the University of South Florida (USF), where he has been a faculty member since 2006. He earned his PhD in Computer Science from Princeton University.  His research focuses on computer security, programming languages"
220,csrankings_ruihua_song,Ruihua Song,cs_faculty,claude-opus-4.6-think,claude,0,0.7,1.0,0.7,0.7,0.7,0.7,0.45,0.9,0.675,"# Ruihua Song  Ruihua Song is a professor at the **Gaoling School of Artificial Intelligence** at **Renmin University of China**. Before joining Renmin University, she spent many years as a researcher at **Microsoft Research Asia (MSRA)**, where she built a strong publication record.  Her research i"
221,csrankings_mor_harchol_balter,Mor Harchol-Balter,cs_faculty,deepseek-v4-flash-think,deepseek,0,0.7,1.0,0.7,0.7,0.85,0.7749999999999999,0.45,0.9,0.675,"Mor Harchol-Balter is a prominent computer science professor at Carnegie Mellon University, known for her pioneering work in performance modeling, queueing theory, and scheduling. She leads the ""Performance Group"" and has made foundational contributions to understanding the behavior of computer syst"
222,csrankings_wen_sun_0002,Wen Sun 0002,cs_faculty,gemini-3.1-pro,gemini,0,1.0,1.0,1.0,0.7,1.0,0.85,0.55,1.0,0.775,"Wen Sun (often designated as ""Wen Sun 0002"" in academic databases like DBLP to disambiguate him from other researchers) is an Assistant Professor in the Department of Computer Science at Cornell University. His research focuses heavily on machine learning, with a specific emphasis on the theoretical"
223,csrankings_hojin_jang,Hojin Jang,cs_faculty,llama-4-maverick,llama4,0,0.7,1.0,0.7,0.4,0.4,0.4,0.4,0.4,0.4,"Hojin Jang is a faculty member in the Department of Computer Science and Engineering at Korea University. His research interests include computer vision, deep learning, and medical imaging. Specifically, his work focuses on developing deep learning-based methods for image analysis and understanding."
224,csrankings_dan_boneh,Dan Boneh,cs_faculty,mistral-medium-3.1,mistral-prop,0,0.7,1.0,0.7,0.7,0.85,0.7749999999999999,0.4,0.55,0.47500000000000003,"Dan Boneh is a renowned cryptographer and professor of **Computer Science and Electrical Engineering** at **Stanford University**, where he co-directs the **Applied Cryptography Group**. His research focuses on **cryptography, computer security, and blockchain technology**, with influential contribu"
225,csrankings_alberto_rodrigues_da_silva,Alberto Rodrigues da Silva,cs_faculty,llama-3.2-1b,llama,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"After conducting research, I was unable to find any information on a person named Alberto Rodrigues da Silva who is a computer science faculty member at Universidade de Lisboa. It is possible that this person is not a public figure or is not well-known in the field of computer science. Alternatively"
226,csrankings_jugal_kalita,Jugal Kalita,cs_faculty,glm-4-32b,glm,0,0.8,1.0,0.8,0.4,0.7,0.55,0.4,0.9,0.65,"Jugal Kalita is a faculty member in the Department of Computer Science at the University of Colorado Colorado Springs (UCCS). He is known for his research in artificial intelligence, natural language processing, and computational linguistics. Kalita has published extensively in these areas and has r"
227,csrankings_christian_glaer,Christian Glaßer,cs_faculty,mistral-medium-3.1,mistral-prop,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"**Unknown**  *(Note: As of my last knowledge update, there is no widely documented record of a **Christian Glaßer** as a computer science faculty member at the **University of Würzburg**. The university’s faculty listings (e.g., in the *Institute of Computer Science*) do not include this name. If th"
228,csrankings_mohsen_ghaffari_0001,Mohsen Ghaffari 0001,cs_faculty,grok-4,grok,0,0.6,1.0,0.6,0.4,0.4,0.4,0.4,0.95,0.675,Mohsen Ghaffari (often disambiguated as 0001 in academic databases like DBLP) is an Associate Professor in the Electrical Engineering and Computer Science (EECS) Department at the Massachusetts Institute of Technology (MIT). He joined MIT in 2017 after earning his PhD from MIT in 2016 and holding po
229,csrankings_hanna_hajishirzi,Hanna Hajishirzi,cs_faculty,llama-4-maverick,llama4,0,0.7,1.0,0.7,0.4,0.7,0.55,0.4,0.75,0.575,"Hanna Hajishirzi is a computer science faculty member at the University of Washington. She is an assistant professor in the Paul G. Allen School of Computer Science & Engineering. Her research interests lie in natural language processing (NLP) and artificial intelligence (AI), with a focus on develo"
230,csrankings_xiaojuan_ma,Xiaojuan Ma,cs_faculty,grok-4,grok,0,0.7,1.0,0.7,0.7,0.7,0.7,0.4,0.9,0.65,"Xiaojuan Ma is an Associate Professor in the Department of Computer Science and Engineering at the Hong Kong University of Science and Technology (HKUST). Her research focuses on Human-Computer Interaction (HCI), particularly in areas like AI-assisted creativity, social computing, accessibility, and"
231,csrankings_joe_halpern,Joe Halpern,cs_faculty,qwen3-235b-a22b-think,qwen3,0,0.8,1.0,0.8,0.7,1.0,0.85,0.4,0.9,0.65,"Joe Halpern is a prominent computer scientist and professor at Cornell University, renowned for his work in artificial intelligence, game theory, and logics of knowledge and belief. His research explores reasoning about knowledge, uncertainty, and causality in multi-agent systems, with applications "
232,csrankings_anhong_guo,Anhong Guo,cs_faculty,phi-4,phi,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"As of my last update, I do not have specific information on an Anhong Guo who is a faculty member in the computer science department at the University of Michigan. It's possible that new faculty members have been hired after my training data was last updated. University faculty listings can change f"
233,csrankings_dan_mcquillan,Dan McQuillan,cs_faculty,llama-3.3-70b,llama,0,0.5,1.0,0.5,0.4,0.7,0.55,0.4,0.9,0.65,"Dan McQuillan is a lecturer in the Department of Computing at Goldsmiths, University of London. His research interests include artificial intelligence, data science, and social responsibility. He has written about the ethics of AI and data-driven systems, highlighting issues such as bias, surveillan"
234,csrankings_mahsa_salehi,Mahsa Salehi,cs_faculty,deepseek-v4-pro-think,deepseek,0,0.75,1.0,0.75,0.7,0.7,0.7,0.45,0.9,0.675,"Mahsa Salehi is a Lecturer (Assistant Professor) in the Faculty of Information Technology at Monash University, Australia. She earned her PhD from the University of Melbourne. Her research focuses on data mining and machine learning, with particular emphasis on anomaly detection in time series and g"
235,csrankings_simon_peter_0001,Simon Peter 0001,cs_faculty,deepseek-v4-pro-think,deepseek,0,0.5,1.0,0.5,0.7,0.85,0.7749999999999999,0.4,0.9,0.65,"Simon Peter is an Associate Professor in the Paul G. Allen School of Computer Science & Engineering at the University of Washington. His research focuses on operating systems, distributed systems, and networking, with an emphasis on improving performance and reliability. He is known for leading the "
236,csrankings_ronald_d__dutton,Ronald D. Dutton,cs_faculty,ministral-3b,mistral,0,0.7,0.4,0.27999999999999997,0.3,0.2,0.25,0.4,0.2,0.30000000000000004,"Ronald D. Dutton is a distinguished **computer science professor** at the **University of Central Florida (UCF)**, specializing in **computer architecture, high-performance computing, and parallel processing**. He holds a **Ph.D. in Electrical Engineering** from the University of Illinois at Urbana-"
237,csrankings_mark_a__horowitz,Mark A. Horowitz,cs_faculty,qwen3-32b-think,qwen3,0,0.7,1.0,0.7,0.4,0.7,0.55,0.45,0.7,0.575,"Mark A. Horowitz is a professor of Electrical Engineering and (by courtesy) Computer Science at Stanford University. His research focuses on computer architecture, integrated circuit design, and low-power digital systems. He is known for pioneering work in 3D integrated circuits, energy-efficient co"
238,csrankings_ronald_ron_m__baecker,Ronald (Ron) M. Baecker,cs_faculty,llama-3.3-70b,llama,0,0.7,1.0,0.7,0.7,0.7,0.7,0.6,0.95,0.7749999999999999,Ronald (Ron) M. Baecker is a Canadian computer scientist and professor at the University of Toronto. He is a faculty member in the Department of Computer Science and has made significant contributions to the field of human-computer interaction (HCI). Baecker's research focuses on designing and evalu
239,csrankings_sweta_mishra,Sweta Mishra,cs_faculty,gemma-3-12b,gemma3,0,0.8,1.0,0.8,0.4,0.4,0.4,0.45,0.4,0.42500000000000004,"Sweta Mishra is an Assistant Professor in the Department of Computer Science at Shiv Nadar University, India. Her research focuses primarily on the intersection of **natural language processing (NLP) and machine learning**, with a particular interest in **low-resource languages and multilingual NLP*"
240,csrankings_thomas_w__kelsey,Thomas W. Kelsey,cs_faculty,llama-3.3-70b,llama,0,0.6,1.0,0.6,0.4,0.4,0.4,0.55,0.55,0.55,"Thomas W. Kelsey is a computer science faculty member at the University of St Andrews. He is a senior lecturer in the School of Computer Science at the university. Kelsey's research interests include algorithms, computational complexity, and theoretical computer science. He has published papers on v"
241,csrankings_thomas_blsius,Thomas Bläsius,cs_faculty,deepseek-v4-pro-think,deepseek,0,1.0,1.0,1.0,0.7,0.7,0.7,0.45,0.85,0.65,"Thomas Bläsius is a tenure-track faculty member (Akademischer Rat) at the Karlsruhe Institute of Technology (KIT), leading the ""Algorithmics of Networks and Random Structures"" research group. His research focuses on theoretical computer science, specifically network science, graph theory, and algori"
242,csrankings_vincent_josua_hellendoorn,Vincent Josua Hellendoorn,cs_faculty,mistral-medium-3.1,mistral-prop,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Unknown. As of my last knowledge update (June 2024), there is no publicly available information about a **Vincent Josua Hellendoorn** affiliated with Carnegie Mellon University’s computer science faculty. CMU’s School of Computer Science lists its faculty members online, and this name does not appea"
243,csrankings_hongsheng_li_0001,Hongsheng Li 0001,cs_faculty,gemini-3-flash-think,gemini,0,0.7,1.0,0.7,0.4,0.7,0.55,0.4,0.8,0.6000000000000001,"Hongsheng Li is an Associate Professor at the Chinese University of Hong Kong (CUHK), primarily affiliated with the Department of Electronic Engineering and the prestigious Multimedia Laboratory (MMLab). He is a leading researcher in the fields of computer vision, deep learning, and medical image an"
244,csrankings_odest_chadwicke_jenkins,Odest Chadwicke Jenkins,cs_faculty,glm-4.7-think,glm,0,0.7,1.0,0.7,0.7,1.0,0.85,0.4,0.9,0.65,"Odest Chadwicke Jenkins is a Professor of Computer Science and Engineering at the University of Michigan, where he leads the Laboratory for Progress (Perception, Robotics, and Grounded learning). His research focuses primarily on robotics, specifically in the areas of perception, manipulation, and h"
245,csrankings_hojin_jang,Hojin Jang,cs_faculty,llama-3.3-70b,llama,0,0.7,1.0,0.7,0.4,0.4,0.4,0.4,0.3,0.35,"Hojin Jang is a faculty member in the Department of Computer Science and Engineering at Korea University. His research interests include computer vision, machine learning, and human-computer interaction. He has published papers in top-tier conferences and journals, such as CVPR, ICCV, and ACM TOG. J"
246,csrankings_sam_tobin_hochstadt,Sam Tobin-Hochstadt,cs_faculty,gemini-3-flash-think,gemini,0,0.8,1.0,0.8,0.7,1.0,0.85,0.45,0.95,0.7,"Sam Tobin-Hochstadt is an Associate Professor of Computer Science at Indiana University's Luddy School of Informatics, Computing, and Engineering. He is a prominent researcher in the field of programming languages, specifically focusing on the design and implementation of type systems and their inte"
247,csrankings_gobinda_chowdhury,Gobinda Chowdhury,cs_faculty,ministral-3b,mistral,0,0.7,0.4,0.27999999999999997,0.3,0.2,0.25,0.35,0.2,0.275,"Gobinda Chowdhury is a prominent **computer science faculty member** at the **University of Strathclyde**, specializing in **machine learning, data science, and artificial intelligence**. He holds a **PhD in Computer Science** and has extensive research experience, particularly in **deep learning, n"
248,csrankings_radha_jagadeesan,Radha Jagadeesan,cs_faculty,claude-opus-4.6-think,claude,0,0.7,1.0,0.7,0.7,0.85,0.7749999999999999,0.4,0.9,0.65,"# Radha Jagadeesan  Radha Jagadeesan is a professor in the School of Computing at DePaul University in Chicago, Illinois. She is a theoretical computer scientist known for her research in areas including **concurrency theory**, **programming language semantics**, **game semantics**, and **formal met"
249,csrankings_eugenia_ha_rim_rho,Eugenia Ha Rim Rho,cs_faculty,llama-3.1-8b,llama,0,0.7,1.0,0.7,0.4,0.4,0.4,0.4,0.6,0.5,"After conducting a search, I found that Eugenia Rho is indeed a computer science faculty member at Virginia Tech. She is an Associate Professor in the Department of Computer Science at Virginia Tech. I don't have real-time access to up-to-date faculty profiles, but based on publicly available inform"
250,csrankings_oussama_khatib,Oussama Khatib,cs_faculty,qwen3-235b-a22b-think,qwen3,0,0.7,1.0,0.7,0.7,0.85,0.7749999999999999,0.4,0.85,0.625,"Oussama Khatib is a professor in the Department of Computer Science at Stanford University, renowned for his contributions to robotics. He directs the Stanford Robotics Laboratory and is a leading figure in the fields of human-robot interaction, robotic manipulation, and autonomous systems. His work"
251,csrankings_alexei_lisitsa_0001,Alexei Lisitsa 0001,cs_faculty,deepseek-v4-flash-think,deepseek,0,0.7,1.0,0.7,0.4,0.7,0.55,0.45,0.95,0.7,"Alexei Lisitsa is a computer scientist and faculty member in the Department of Computer Science at the University of Liverpool. His research focuses on automated reasoning, verification, term rewriting, and logic. He has contributed to the development of methods for infinite-state system verificatio"
252,csrankings_alexander_medvedev,Alexander Medvedev,cs_faculty,glm-4.7-think,glm,0,0.75,1.0,0.75,0.3,0.7,0.5,0.4,0.9,0.65,"Alexander Medvedev is a Professor at Uppsala University within the Department of Information Technology, specifically associated with the Division of Systems and Control. His research primarily focuses on control theory, system modeling, and optimization. He is well-regarded for his work in applying"
253,csrankings_juncheng_yang,Juncheng Yang,cs_faculty,qwen3-235b-a22b-think,qwen3,0,0.6,0.5,0.3,0.4,0.4,0.4,0.35,0.4,0.375,"Juncheng Yang is a postdoctoral researcher at Harvard University's Paulson School of Engineering and Applied Sciences, affiliated with the computer science department. His research focuses on machine learning, distributed systems, and data management, particularly on developing efficient algorithms "
254,csrankings_dan_rockmore,Dan Rockmore,cs_faculty,kimi-k2.6-think,kimi,0,0.8,1.0,0.8,0.4,0.7,0.55,0.4,0.95,0.675,"Dan Rockmore is the William H. Neukom 1964 Distinguished Professor of Computational Science at Dartmouth College, with appointments in computer science and mathematics. He directs the Neukom Institute for Computational Science. His research spans machine learning, cultural evolution, digital humanit"
